ID,Assess,Score
2D19,Q2,2.0
2D20,Q2,3.0
2D21,Q2,1.0
2D22,Q2,3.0
2D23,Q2,3.0
2D24,Q2,2.0
2D25,Q2,2.0
2D26,Q2,0.0
2D27,Q2,1.0
2D28,Q2,5.0
2D29,Q2,1.0
2A01,T1,51.0
2A02,T1,31.5
2A03,T1,47.0
2A04,T1,46.5
2A05,T1,53.5
2A06,T1,28.5
2A07,T1,25.0
2A08,T1,39.5
2A09,T1,58.0
2A10,T1,39.0
2A11,T1,54.0
2A12,T1,59.0
2A13,T1,39.0
2A14,T1,60.0
2A15,T1,57.0
2A16,T1,59.5
2A17,T1,54.0
2A18,T1,33.5
2A19,T1,53.5
2A20,T1,36.5
2A21,T1,28.5
2A22,T1,41.0
2A23,T1,41.0
2A24,T1,36.5
2A25,T1,33.0
2A26,T1,53.0
2A27,T1,43.5
2A28,T1,36.5
2A29,T1,40.0
2A30,T1,42.0
2A31,T1,46.5
2A32,T1,53.0
2B01,T1,51.0
2B02,T1,49.0
2B03,T1,53.0
2B04,T1,52.5
2B05,T1,43.0
2B06,T1,45.5
2B07,T1,47.0
2B08,T1,53.0
2B09,T1,40.0
2B10,T1,37.5
2B11,T1,46.5
2B12,T1,54.5
2B13,T1,54.5
2B14,T1,45.5
2B15,T1,46.5
2B16,T1,50.0
2B17,T1,28.5
2B18,T1,59.0
2B19,T1,40.5
2B20,T1,61.0
2B21,T1,50.5
2B22,T1,53.0
2B23,T1,47.0
2B24,T1,20.0
2B25,T1,33.5
2B26,T1,61.5
2B27,T1,36.5
2B28,T1,41.5
2B29,T1,40.5
2B30,T1,36.5
2B31,T1,52.5
2B32,T1,50.0
2B33,T1,57.0
2C01,T1,51.0
2C02,T1,34.5
2C03,T1,17.0
2C04,T1,28.5
2C05,T1,43.5
2C07,T1,27.0
2C08,T1,25.0
2C09,T1,34.5
2C10,T1,8.5
2C11,T1,40.0
2C12,T1,31.0
2C13,T1,30.0
2C14,T1,11.5
2C15,T1,44.0
2C16,T1,30.5
2C17,T1,26.0
2C18,T1,18.0
2C19,T1,44.0
2C20,T1,28.0
2C21,T1,22.5
2C22,T1,9.0
2C23,T1,36.0
2C24,T1,53.5
2C25,T1,7.5
2C26,T1,32.0
2C27,T1,31.0
2C28,T1,31.0
2C29,T1,26.0
2D01,T1,51.0
2D02,T1,16.5
2D03,T1,24.5
2D04,T1,31.0
2D05,T1,44.0
2D06,T1,42.0
2D07,T1,30.0
2D08,T1,40.0
2D09,T1,42.0
2D10,T1,24.0
2D11,T1,42.0
2D12,T1,32.0
2D13,T1,41.5
2D14,T1,25.0
2D15,T1,24.5
2D16,T1,30.5
2D17,T1,31.0
2D18,T1,11.5
2D19,T1,18.5
2D20,T1,35.5
2D21,T1,20.5
2D22,T1,32.0
2D23,T1,42.0
2D24,T1,27.0
2D25,T1,29.5
2D26,T1,30.0
2D27,T1,28.0
2D28,T1,27.0
